file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
custom,0.0,0.697641723356009,MFA_Ready,-52.527985491071426,-54.81194814046224,2.029773541720296,12.136598327795838
bottom,0.0,0.6768027210884354,MFA_Ready,-42.17519962086397,-47.6229907989502,2.029773541720296,5.8181214339891945
cereal,0.0,0.7223809523809523,MFA_Ready,-47.59772067599826,-43.903326670328774,2.028468811441708,7.094150407189076
relief,0.0,0.5458276643990929,MFA_Ready,-45.76063121448863,-47.442667388916014,2.0284687461262565,15.196414357876442
signal,0.0,0.6587981859410431,MFA_Ready,-57.159531102035984,-57.38188489278158,2.0255739812879474,8.825960005498331
figure,0.0,0.7041043083900227,MFA_Ready,-46.803212193080356,-45.3348030090332,2.0255734642574916,4.662007919054091
instinct,0.0,0.8265986394557823,MFA_Ready,-53.830948795180724,-53.08798265457153,2.007886201181745,6.595936254563309
cafe,0.0,0.6377324263038548,MFA_Ready,-49.580787658691406,-49.473440170288086,2.007033152084746,12.399915719158276
parade,0.0,0.614671201814059,MFA_Ready,-41.814949410860656,-47.70757436752319,2.00703238147187,7.464678723169243
area,0.0,0.6319047619047619,MFA_Ready,-35.46958317832341,-33.68193292617798,2.00651302378222,8.275190221461404
drama,0.0,0.6624036281179139,MFA_Ready,-43.64205655184659,-46.405798721313474,2.0065124781541437,6.2546182797743555
china,0.0,0.6275963718820862,MFA_Ready,-46.759556361607146,-46.93325901031494,2.006511932526067,4.413128232443501
impact,0.0,0.7206575963718821,MFA_Ready,-53.47688123914931,-52.3408203125,2.0009637303418555,8.537975412254976
junction,0.0,0.7051700680272109,MFA_Ready,-46.53979836047535,-46.99005399431501,2.0005784806327447,8.318961704968878
public,0.0,0.4751020408163265,MFA_Ready,-55.34742228190104,-54.64824422200521,2.0005784806327447,8.218219916315793
stomach,0.0,0.6388888888888888,MFA_Ready,-52.35976791381836,-51.819634755452476,2.0005777718880773,12.624391070925093
future,0.0,0.7924263038548753,MFA_Ready,-50.02781657931171,-46.275367736816406,1.987859318206985,6.773805568849863
shower,0.0,0.6857823129251701,MFA_Ready,-41.98634581634964,-39.749716440836586,1.9760758535307994,7.196017818496095
support,0.0,0.6709977324263039,MFA_Ready,-51.140267898787314,-48.59464454650879,1.9711625653827987,13.30414502362732
poster,0.0,0.8547619047619047,MFA_Ready,-50.92117991727941,-50.95750961303711,1.9711620446699536,3.2769052164789443
routine,0.0,0.8080725623582766,MFA_Ready,-47.692428023726855,-47.63710021972656,1.9708939228264513,9.136586591365166
blanket,0.0,0.7916326530612245,MFA_Ready,-47.69500655162184,-49.18443134852818,1.9708934395024624,11.63822329624799
impulse,0.0,0.796984126984127,MFA_Ready,-50.22651977539063,-51.88481521606445,1.9637733117042155,-1.6290415482545733
increase,0.0,0.9286167800453514,MFA_Ready,-45.934428553427416,-45.89984703063965,1.9637733117042155,13.586094382605367
silence,0.0,0.9956462585034014,MFA_Ready,-46.40181640625,-44.27064069112142,1.9637733117042155,14.01850261955342
lesson,0.0,0.6309977324263039,MFA_Ready,-54.64165194072421,-52.97184677124024,1.959512525246085,5.827353129932074
person,0.0,0.6459863945578231,MFA_Ready,-53.035235126201925,-52.3818359375,1.959512525246085,4.835041908509574
prison,0.0,0.6670294784580499,MFA_Ready,-50.117949072994406,-49.324954986572266,1.9595118179023212,2.468238940073249
cousin,0.0,0.6194331065759637,MFA_Ready,-45.825707220262096,-44.101941680908205,1.9595111105585572,5.4248606860327655
orange,0.0,0.6837868480725624,MFA_Ready,-39.545510684742645,-37.521702194213866,1.9595111105585572,6.855795593983483
distance,0.0,0.8073922902494332,MFA_Ready,-52.62180507330247,-54.541067940848215,1.9595111105585572,3.532208235800926
ribbon,0.0,0.6571882086167801,MFA_Ready,-41.59596576112689,-42.24154891967773,1.9552093243552053,10.953616011929931
hardware,0.0,0.8518140589569161,MFA_Ready,-45.38287281709559,-44.38591412135533,1.9552093243552053,9.567141161693481
prayer,0.0,0.5618820861678004,MFA_Ready,-39.251390729631694,-38.684579849243164,1.9552086937644344,5.543646689523868
lobster,0.0,0.7839002267573696,MFA_Ready,-50.30138534154647,-49.00103441874186,1.9484082020061513,5.426378717596624
stable,0.0,0.831859410430839,MFA_Ready,-47.413165356739455,-47.36236317952474,1.9484082020061513,7.946563719246711
incline,0.0,0.7455555555555555,MFA_Ready,-46.90952473958333,-50.28728357950846,1.9327295637586894,12.309574525010987
outside,0.0,0.606281179138322,MFA_Ready,-48.23277007556352,-49.43793640136719,1.9272592019401154,6.932999548911528
disgrace,0.0,0.7263038548752835,MFA_Ready,-45.240521992722606,-49.19634083339146,1.9272590314080504,6.631560086509207
party,0.0,0.5696145124716553,MFA_Ready,-45.271818462171055,-47.36199188232422,1.8906179629242377,11.764242867098801
market,0.0,0.5395238095238095,MFA_Ready,-53.18873878761574,-48.72072728474935,1.8906179629242377,5.610302143017908
pardon,0.0,0.5895691609977324,MFA_Ready,-48.42959646451271,-48.282596588134766,1.8906178033268974,9.553361540752377
artist,0.0,0.8166439909297052,MFA_Ready,-50.983446074695124,-54.88081423441569,1.8906178033268974,15.336939251955243
